task_seed,split_seed,condition,train_loss_init,val_loss_init,train_loss,val_loss,train_improvement,val_improvement,improvement_gap,abs_improvement_gap,gap,abs_gap,drift,v_tr,v_val,meta_seed,beta_drift,beta_var
282893,792989,full_bqml_strong,0.5523294105825844,0.6960142455328394,0.5407656459430372,0.6965007495263104,0.0115637646395472,-0.0004865039934709,0.0120502686330181,0.0120502686330181,0.1557351035832731,0.1557351035832731,0.1006055215288889,0.0350273827793299,0.0306570611041358,1,1.0,10.0
891622,886387,full_bqml_strong,0.5684222665190236,0.6022933219894474,0.560425235745057,0.5996458592805275,0.0079970307739666,0.0026474627089199,0.0053495680650467,0.0053495680650467,0.0392206235354705,0.0392206235354705,0.0768743806876333,0.0275257767370237,0.0339101519013897,1,1.0,10.0
326295,52811,full_bqml_strong,0.5703468859257707,0.6066667417573682,0.5524387649259612,0.6011964961867804,0.0179081209998094,0.0054702455705878,0.0124378754292215,0.0124378754292215,0.0487577312608191,0.0487577312608191,0.1227667683975446,0.0319838788560049,0.0218918124406948,1,1.0,10.0
936793,305054,full_bqml_strong,0.5238647643812842,0.6338784333419589,0.5145383824290269,0.636618499997759,0.0093263819522572,-0.0027400666558,0.0120664486080572,0.0120664486080572,0.122080117568732,0.122080117568732,0.0952393537549275,0.0336216701758222,0.0338670917699191,1,1.0,10.0
274246,706697,full_bqml_strong,0.5949197089026237,0.5135903729115959,0.5794606079732462,0.5099566095611174,0.0154591009293775,0.0036337633504784,0.011825337578899,0.011825337578899,-0.0695039984121287,0.0695039984121287,0.1123827636774917,0.0268269405417227,0.0308060513546456,1,1.0,10.0
363712,576771,full_bqml_strong,0.6036399395721418,0.465384847140133,0.5958042514996087,0.4668985238207922,0.007835688072533,-0.0015136766806592,0.0093493647531923,0.0093493647531923,-0.1289057276788164,0.1289057276788164,0.0772184165443337,0.0242790009844844,0.0294955130067343,1,1.0,10.0
655158,501505,full_bqml_strong,0.5654794196276125,0.6123032566277712,0.5537024824125208,0.6160581385813563,0.0117769372150916,-0.003754881953585,0.0155318191686767,0.0155318191686767,0.0623556561688354,0.0623556561688354,0.09739735185524,0.0345068397562252,0.0324783004103592,1,1.0,10.0
20447,711897,full_bqml_strong,0.6191281520827908,0.5431361480942859,0.6118879743659567,0.5438703579773646,0.0072401777168341,-0.0007342098830787,0.0079743875999128,0.0079743875999128,-0.068017616388592,0.068017616388592,0.0772437913125049,0.0269202991595637,0.0388726852393049,1,1.0,10.0
133262,906385,full_bqml_strong,0.5990395177540151,0.5293355312436161,0.5924331567723309,0.5266113725081293,0.0066063609816842,0.0027241587354868,0.0038822022461973,0.0038822022461973,-0.0658217842642016,0.0658217842642016,0.0756030491059899,0.0380234409680653,0.0267017554897103,1,1.0,10.0
731910,286982,full_bqml_strong,0.5579819836527651,0.5949942600083389,0.5361143868344499,0.5996054838649462,0.0218675968183151,-0.0046112238566072,0.0264788206749224,0.0264788206749224,0.0634910970304962,0.0634910970304962,0.1364282242642622,0.0285932747317534,0.0261492476883951,1,1.0,10.0
899143,880853,full_bqml_strong,0.5887178435631994,0.5746034212697513,0.5760739690979199,0.5699624952712942,0.0126438744652795,0.0046409259984571,0.0080029484668224,0.0080029484668224,-0.0061114738266256,0.0061114738266256,0.0973377076196693,0.0269892479151868,0.0287096486895327,1,1.0,10.0
743003,17297,full_bqml_strong,0.5850377780135277,0.5144876317329319,0.5726337124663473,0.5150610244687667,0.0124040655471804,-0.0005733927358347,0.0129774582830152,0.0129774582830152,-0.0575726879975806,0.0575726879975806,0.1018306207474165,0.0291461770720285,0.033351901947427,1,1.0,10.0
532121,328710,full_bqml_strong,0.5872739126265322,0.5132332447410647,0.5764116064552284,0.51009304740516,0.0108623061713037,0.0031401973359046,0.0077221088353991,0.0077221088353991,-0.0663185590500683,0.0663185590500683,0.0965771414616985,0.0248471750585878,0.044137745548742,1,1.0,10.0
482826,644407,full_bqml_strong,0.5910771868405746,0.5419505851487977,0.583593625282525,0.538397517338795,0.0074835615580496,0.0035530678100026,0.0039304937480469,0.0039304937480469,-0.0451961079437299,0.0451961079437299,0.0750187748846077,0.0272803525139682,0.0297057669215363,1,1.0,10.0
