task,norm_gtr,norm_gval,align,IP,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,G,drift,seed,L,n
25,0.1392007991056697,0.39525954213886727,-0.5309425272932751,-0.029212693653802965,0.2302417340532082,0.03619354358617036,-0.011758922484744243,0.18710467004850562,0.19404819046703783,-0.19886359253324987,0.15091112646233526,0.9560000385175984,1,3,6
26,0.15608450909199656,0.3195654955415101,0.17687870941126482,0.008822572678114406,-0.2461722384248479,-0.34694024071464563,0.054586186018070804,0.08501225958076541,0.10076800228979774,-0.03042607356269461,0.43195250029541105,0.7037178625949487,1,3,6
27,0.17832350927711066,0.31093664507731894,0.13331625201089203,0.007392028048294489,0.20158068251766986,0.04900333197015294,-0.6195641619330476,-0.5755124385407001,0.15257735054751692,-0.04405172339234753,-0.624515770510853,0.8531055521385972,1,3,6
28,0.17348056310026788,0.36483493197797856,-0.8674183474757976,-0.054900442054891925,-0.03927374637240779,-0.16152309336628834,0.021492052073737992,0.20659177143465277,0.12224934699388054,-0.18509971936091477,0.36811486480094113,0.7488375003235257,1,3,6
29,0.15474356656653887,0.35190115004069983,0.46952630602772755,0.025567791607462458,-0.22318987812690022,-0.30420384553444463,0.15813738779721592,0.08731175179394433,0.08101396740754441,0.07082563600327159,0.391515597328389,0.6224997305779908,1,3,6
30,0.2218672028515418,0.20127414801500504,-0.6481248070452289,-0.02894274708263234,-0.029707695751884186,-0.17195657797026226,0.30380492450569213,0.33418145066971416,0.14224888221837806,-0.030376526164022033,0.5061380286399764,0.8169782889580083,1,3,6
31,0.2479518406047084,0.2716532849625799,0.24323203666081997,0.016383363756694577,-0.02386921602680925,-0.23159467290902197,0.03338704528820185,-0.10997083296755505,0.20772545688221272,0.1433578782557569,0.12162383994146692,0.9872643343906937,1,3,6
32,0.31852231036627116,0.27273410219901917,-0.14593065877479922,-0.012677273063094643,0.22169114125655676,-0.11317746262251945,-0.10217332838038387,-0.02455093277709723,0.3348686038790762,-0.07762239560328664,0.08862652984542221,1.2210352933724324,1,3,6
33,0.26494769133189977,0.2952623597878007,-0.14033231652926387,-0.010978068095358312,0.027974573342818027,-0.15465233057477523,0.05800252164098543,-0.06437337451550756,0.18262690391759326,0.122375896156493,0.09027895605926767,0.9153935785448897,1,3,6
34,0.1511937144982232,0.3345056934938061,0.24563747945163522,0.012423154412624787,-0.39781299276289767,-0.4519909634982272,0.09452773531385311,0.06287077182351984,0.05417797073532954,0.03165696349033327,0.5148617353217471,0.5093804665506433,1,3,6
35,0.1896739506711232,0.49604729139949133,-0.16314189620335545,-0.015349572288635868,0.17251114828157005,-0.03346527379367929,-0.4042027787057503,-0.31253911909700843,0.20597642207524935,-0.09166365960874184,-0.2790738453033291,0.988165797902366,1,3,6
36,0.1757044641601907,0.37581902351112423,-0.5343124181692465,-0.03528229473262916,0.07716989583786735,-0.051582693670904116,-0.21648523957234977,-0.0020966766610665544,0.12875258950877147,-0.21438856291128322,0.04948601700983756,0.7970722481896952,1,3,6
37,0.2636851112388499,0.31906438530225245,0.6592090240446349,0.05546092162765727,0.30558439576609137,-0.2741910322807133,0.45667061904233924,0.1495319820687961,0.5797754280468046,0.30713863697354316,0.4237230143495094,1.6407365845083826,1,3,6
38,0.36153282485636995,0.1538549425369833,0.17709896488660803,0.009850884107304945,-0.11703604022189175,-0.46562657087372394,-0.7551682387156364,-0.6116588115989263,0.3485905306518322,-0.1435094271167101,-0.14603224072520238,1.2422085274794352,1,3,6
39,0.23754609313772443,0.07027708841965494,-0.3430790734325354,-0.005727378448037681,-0.08138801213659175,-0.36287635739458096,0.19815169380311418,0.2819533799649499,0.2814883452579892,-0.08380168616183573,0.6448297373595309,1.1528660505397914,1,3,6
40,0.255624583592204,0.2474776264901062,-0.4604134796755101,-0.029126385289926844,-0.08407352014321284,-0.26251608752308264,-0.3984573094689216,-0.20469144098482386,0.1784425673798698,-0.19376586848409774,0.05782464653825878,0.9197595643042928,1,3,6
41,0.2559986788411284,0.2940098682780099,0.16752467660687642,0.01260893540200336,0.12476226409269703,-0.21351766641302294,0.05550124814571329,-0.17905166525948293,0.33827993050572,0.23455291340519624,0.03446600115354001,1.2628941835767757,1,3,6
