n,L,task,norm_gtr,norm_gval,align,gtr1,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,I_val_K1,G,drift,seed
4,2,4,0.2761135952599728,0.5648127467662823,-0.6759323719349856,-0.07345543302843986,0.018271922408543778,-0.26844162137796146,-0.3064914523712661,0.07742668905032628,0.28671354378650526,-0.3839181414215924,-0.054064380161509995,0.34586831042828775,1.1771343320249241,1
4,2,5,0.3988999192606061,0.4132966320067806,-0.2689142597533962,0.02353812984964103,-0.08137571894952157,-0.4086235755667805,-0.37896655991047656,-0.03405716518958225,0.3272478566172589,-0.3449093947208943,-0.030045804241087493,0.37456641037719823,1.1309032906481442,1
4,2,6,0.37323974398201265,0.3541360052720892,-0.6149989005521223,-0.007496132889675035,0.05732035403904376,-0.2696421930894877,-0.053970356842447186,0.2773990715302557,0.32696254712853146,-0.3313694283727029,-0.04212495777820531,0.5470412646197435,1.150610420417148,1
4,2,7,0.4459935417843087,0.4713999963737678,-0.39432313045684275,-0.021508770632011353,0.04140325007024176,-0.3523510808167133,-0.31392813260223384,-0.23726067213284746,0.39375433088695505,-0.07666746046938638,-0.03895074684236205,0.11509040868386583,1.2686066603942614,1
4,2,8,0.347413221866845,0.28100902525945876,0.08761551350430598,0.010436192032490058,-0.19760879479394267,-0.4642281627603525,0.1365809880628523,-0.010088029829471601,0.26661936796640984,0.1466690178923239,0.007620086450398633,0.4541401329308809,1.098880005235259,1
4,2,9,0.3289933729947905,0.773941300539513,0.4917121194901674,-0.04153981401701628,-0.004029877187751607,-0.2829779279929041,-0.1071650435693225,-0.6021685670983561,0.2789480508051525,0.4950035235290336,0.06197285616359813,-0.319190639105452,1.0985411906290439,1
4,2,10,0.45536965250945804,0.6652208457437399,0.6881603341157865,0.06969721188245687,0.05712973901949445,-0.5108255439015787,-0.0866247864875681,-0.0553299740671801,0.5679552829210732,-0.03129481242038801,0.09341591921248651,0.45549556983439865,1.5653592082424732,1
4,2,11,0.2912574317705741,0.368190091024131,0.7600782445921934,-0.023040105973516647,0.10262052148225886,-0.22482880253831578,0.3689318981325042,0.023314867923927077,0.32744932402057464,0.34561703020857715,0.04227582107400879,0.24814367046224284,1.239018372226377,1
4,2,12,0.3332506316259152,0.5484734188898153,0.18213323001957743,0.07161219765538603,0.1780438123995713,-0.4072698565390046,0.006031040701508637,-0.29845781429890966,0.5853136689385758,0.3044888550004183,0.018476981545010727,0.10881204224009494,1.6671798680915024,1
4,2,13,0.24806611194775904,0.7021268752079366,-0.4046799239527955,0.02740109412319503,0.06470453936246888,-0.182673143641381,-0.07952175475523424,0.2579619764988259,0.24737768300384988,-0.33748373125406017,-0.03429593691789129,0.4406351201402069,1.0727770534497683,1
4,2,14,0.336389984819357,0.6059350365604004,-0.9478005627581021,-0.04206837056934659,0.10414991948145194,-0.19990841981864343,-0.08752134381549462,0.29317858444581696,0.3040583393000954,-0.3806999282613116,-0.09515535197809619,0.4930870042644604,1.1714318791523328,1
4,2,15,0.49920771617737686,0.5139884371620418,0.45031848876852265,-0.06817125240681884,-0.0683106096931893,-0.5194292599308922,-0.2311490137082293,-0.1982416628750894,0.45111865023770287,-0.03290735083313989,0.04737648466411307,0.3211875970558028,1.3153200022560232,1
4,2,16,0.11856331442248093,0.40818114163772784,-0.19847843514947866,-0.08279082485155866,-0.057793265527966015,-0.17556720282561344,0.10454175461435951,0.07207065556326339,0.11777393729764743,0.03247109905109612,-0.0044474993272309166,0.24763785838887684,0.7380561040329867,1
4,2,17,0.4661094535953403,0.6592294746504548,-0.28612656780938134,0.009698728872413654,-0.04891213076944918,-0.4366171289498822,-0.05892891346266427,0.1122932759269597,0.387704998180433,-0.17122218938962397,-0.05387267927107297,0.5489104048768418,1.2278764044371404,1
4,2,18,0.3851259995719226,0.5521581116489028,0.0640910334396516,0.09133199381537481,-0.2296869368472052,-0.5636563615531892,0.09401501532984552,0.021770745845992714,0.333969424705984,0.0722442694838528,0.007356728159672948,0.5854271073991819,1.2292954969420027,1
4,2,19,0.2776402876861224,0.47535111625705273,0.14957496771718728,-0.016555878930891492,0.16322235203879687,-0.2672311489953205,-0.18090025834373732,-0.056027295776983135,0.4304535010341174,-0.12487296256675419,0.009122376764445134,0.2112038532183374,1.4323446348760427,1
4,2,20,0.2745136666784114,0.5934481851725052,-0.4874895744562033,-0.005047544513211758,0.0918143285988595,-0.26594529646202336,-0.11526174116633661,0.24508941201082735,0.3577596250608829,-0.36035115317716393,-0.040990266437593,0.5110347084728507,1.285931527800123,1
4,2,21,0.3370635052584574,0.8036829553211245,0.21001449099457692,-0.018934920924446524,-0.23431428845933502,-0.4516237140723186,0.04059272035942815,-0.20692319400064174,0.21730942561298358,0.2475159143600699,0.032434417506452456,0.24470052007167686,0.9880998102425828,1
